N:14													
T:3													
C:3													
													
D:													
0	28.84	8.55	10.53	36.59	6.96	5.66	6.75	21.54	17.11	9.22	32.6	8.5	16.24
28.84	0	32.87	37.17	65.24	26.05	25.61	27.17	47.24	11.74	27.57	9.12	37.2	18.83
8.55	32.87	0	4.63	35.81	6.82	7.58	15.3	14.56	21.56	6.23	38.3	11.08	16
10.53	37.17	4.63	0	31.32	11.18	11.6	16.87	11.03	25.68	9.79	42.18	9.05	20.63
36.59	65.24	35.81	31.32	0	41.33	41	38.57	28.09	53.59	38.83	67.63	28.11	51.41
6.96	26.05	6.82	11.18	41.33	0	9.33	12.37	21.34	14.76	12.06	31.58	14.14	10.13
5.66	25.61	7.58	11.6	41	9.33	0	10.72	22.13	14.09	11.68	30.73	13.4	10.79
6.75	27.17	15.3	16.87	38.57	12.37	10.72	0	27.68	16.12	10.08	29.1	11.65	19.29
21.54	47.24	14.56	11.03	28.09	21.34	22.13	27.68	0	36.1	20.58	52.86	17.77	29.38
17.11	11.74	21.56	25.68	53.59	14.76	14.09	16.12	36.1	0	15.96	16.93	25.51	10.51
9.22	27.57	6.23	9.79	38.83	12.06	11.68	10.08	20.58	15.96	0	32.39	11.27	12.9
32.6	9.12	38.3	42.18	67.63	31.58	30.73	29.1	52.86	16.93	32.39	0	40.33	26.34
8.5	37.2	11.08	9.05	28.11	14.14	13.4	11.65	17.77	25.51	11.27	40.33	0	24.17
16.24	18.83	16	20.63	51.41	10.13	10.79	19.29	29.38	10.51	12.9	26.34	24.17	0
													
Times:													
0	498.33												
498.33	996.66												
996.66	1494.99												
													
Speed:													
0.22	0.44	0.22											
0.3	0.6	0.3											
0.415	0.83	0.415											
													
S:													
0	6	23	5	34	9	1	11	21	19	28	13	17	10
Cost:													
512.316													
CT:													
0.801													
C:													
0	1	1	1	1	1	1	1	1	1	1	1	1	1
3	0	3	3	3	3	3	3	3	3	3	3	3	3
1	1	0	1	1	1	1	1	1	1	1	1	1	1
1	1	1	0	1	1	1	1	1	1	1	1	1	1
3	3	3	3	0	3	3	3	3	3	3	3	3	3
1	1	1	1	1	0	1	1	1	1	1	1	1	1
1	1	1	1	1	1	0	1	1	1	1	1	1	1
1	1	1	1	1	1	1	0	1	1	1	1	1	1
2	2	2	2	2	2	2	2	0	2	2	2	2	2
2	2	2	2	2	2	2	2	2	0	2	2	2	2
1	1	1	1	1	1	1	1	1	1	0	1	1	1
3	3	3	3	3	3	3	3	3	3	3	0	3	3
1	1	1	1	1	1	1	1	1	1	1	1	0	1
2	2	2	2	2	2	2	2	2	2	2	2	2	0
