N:14													
T:3													
C:3													
													
D:													
0	68.39	62.1	89.33	62.36	57.71	74.81	75.16	80.56	72.51	60.6	73.62	73	77.21
68.39	0	15.11	40.73	31.3	20.84	21.62	44.14	30.93	41.07	14.76	18.29	10.94	50.34
62.1	15.11	0	32.53	16.35	6.26	13.79	30.55	22.2	27.25	12.36	11.79	11.9	36.52
89.33	40.73	32.53	0	27.03	33.76	19.59	19.71	10.37	20.15	34.31	22.74	29.82	23.66
62.36	31.3	16.35	27.03	0	12.23	17.74	16.13	19.27	12.72	17.22	19.05	24.84	21.34
57.71	20.84	6.26	33.76	12.23	0	17.11	27.91	23.84	24.49	6.1	16.11	17.96	33.46
74.81	21.62	13.79	19.59	17.74	17.11	0	24.53	9.41	22.07	15.57	19.02	11.15	30.78
75.16	44.14	30.55	19.71	16.13	27.91	24.53	0	18.85	12.49	31.86	27.45	35.11	6.28
80.56	30.93	22.2	10.37	19.27	23.84	9.41	18.85	0	17.47	23.98	12.68	20.21	24.62
72.51	41.07	27.25	20.15	12.72	24.49	22.07	12.49	17.47	0	28.53	24.83	32.34	9.3
60.6	14.76	12.36	34.31	17.22	6.1	15.57	31.86	23.98	28.53	0	13.49	12.92	37.76
73.62	18.29	11.79	22.74	19.05	16.11	19.02	27.45	12.68	24.83	13.49	0	7.87	33.72
73	10.94	11.9	29.82	24.84	17.96	11.15	35.11	20.21	32.34	12.92	7.87	0	41.39
77.21	50.34	36.52	23.66	21.34	33.46	30.78	6.28	24.62	9.3	37.76	33.72	41.39	0
													
Times:													
0	571.03												
571.03	1142.06												
1142.06	1713.09												
													
Speed:													
0.22	0.44	0.22											
0.3	0.6	0.3											
0.415	0.83	0.415											
													
S:													
0	25	27	5	20	2	11	12	23	1	10	6	15	14
Cost:													
538.098													
CT:													
0.38													
C:													
0	3	3	3	3	3	3	3	3	3	3	3	3	3
3	0	3	3	3	3	3	3	3	3	3	3	3	3
2	2	0	2	2	2	2	2	2	2	2	2	2	2
2	2	2	0	2	2	2	2	2	2	2	2	2	2
1	1	1	1	0	1	1	1	1	1	1	1	1	1
2	2	2	2	2	0	2	2	2	2	2	2	2	2
1	1	1	1	1	1	0	1	1	1	1	1	1	1
1	1	1	1	1	1	1	0	1	1	1	1	1	1
1	1	1	1	1	1	1	1	0	1	1	1	1	1
1	1	1	1	1	1	1	1	1	0	1	1	1	1
2	2	2	2	2	2	2	2	2	2	0	2	2	2
1	1	1	1	1	1	1	1	1	1	1	0	1	1
2	2	2	2	2	2	2	2	2	2	2	2	0	2
2	2	2	2	2	2	2	2	2	2	2	2	2	0
