5,5,12
0,11,14,8,12,
9,0,9,14,9,
14,8,0,15,12,
8,14,12,0,9,
12,14,14,11,0,

0,12,16,9,15,
11,0,11,17,11,
16,9,0,18,14,
9,17,14,0,11,
15,16,16,12,0,

0,15,19,11,20,
13,0,13,23,13,
19,11,0,21,17,
11,23,17,0,13,
20,19,19,15,0,

0,14,18,9,16,
12,0,11,18,12,
18,9,0,20,16,
9,18,16,0,11,
16,18,18,13,0,

0,13,17,8,13,
11,0,10,15,11,
17,8,0,19,15,
8,15,15,0,10,
13,17,17,12,0,

0,12,16,8,11,
11,0,9,13,11,
16,8,0,18,14,
8,13,14,0,9,
11,16,16,11,0,

0,12,17,8,14,
10,0,9,16,10,
17,8,0,17,15,
8,16,13,0,9,
14,15,17,11,0,

0,11,18,8,18,
9,0,10,21,9,
18,8,0,16,16,
8,21,13,0,10,
18,14,18,12,0,

0,11,19,9,27,
9,0,11,30,9,
19,9,0,15,17,
9,30,12,0,11,
27,14,19,12,0,

0,10,18,10,20,
8,0,12,23,9,
18,9,0,16,16,
8,23,13,0,11,
20,13,18,14,0,

0,10,17,9,16,
9,0,13,18,9,
17,10,0,17,15,
9,18,12,0,11,
16,12,17,15,0,

0,10,16,10,13,
8,0,14,15,9,
16,9,0,16,14,
9,15,11,0,12,
13,13,16,14,0,

